Label,并发数,平均值/ms,中位数/ms,90%/ms,95%/ms,99%/ms,最小值/ms,最大值/ms,异常,吞吐量,接收/kb,发送/kb
addAnswers,1000,735.0684578,701.748047,1203.573629,1322.71934,1800.311896,114.0971645,3471.380986,0,252.427355,257.6071643,38.20740446
findAnswersById,1000,791.1436522,776.8026796,1252.444936,1355.221906,1471.144767,132.6539961,1957.542753,0,545.4500436,111.8598722,133.6991806
unlikeAnswers,1000,468.9089953,437.8870262,746.9135651,844.7520832,1685.924708,118.1221133,1985.406026,0,515.1781779,105.6517748,170.049047
dislikeAnswers,1000,883.5705547,854.0087146,1098.167616,1314.954444,1490.135719,255.1077314,8548.84621,0,110.0830648,41.26360686,26.67381019
findAnswersByUid,1000,1697.123093,1613.288007,1969.049719,2199.058802,2570.942647,742.69288,15077.41783,0,196.1292739,96.15629011,43.49516132
findAllFollowedByUid,1000,2306.61234,2554.04254,3046.55763,3374.901024,3845.135669,1157.410462,28521.31435,0,313.6478835,172.9234404,115.3278992
addFollow,1000,2094.074408,1942.142125,2447.405298,2598.159811,2953.84624,595.9514344,24165.47734,0,233.7504465,119.5067905,80.597941
delFollow,1000,1109.120575,1084.965499,1286.257799,1422.130102,1599.267326,418.6879847,13515.77151,0,132.3293893,78.97536605,41.74730612
checkFollowed,1000,467.9209309,432.5616666,564.5695866,644.7172524,806.191226,233.3711444,2108.590794,0,92.44654001,38.26853433,20.58937338
getTop10,1000,786.2159092,749.4338784,972.4249403,1118.403625,1249.43961,204.6000465,11004.72385,0,77.55011105,44.22951707,20.07922227
queryForQuesByTag,1000,627.2899844,605.2981819,654.5179303,817.8856056,873.3887261,172.7927336,8965.324801,0,66.4596325,30.81721625,16.15632817
findByUid,1000,551.9352663,539.2338272,677.7949819,744.7662067,885.636714,232.0899342,9770.870761,0,103.3068517,73.27851455,50.14030509
createQuestion,1000,1208.445973,1180.131869,1344.353674,1447.417014,1599.180613,463.2187471,11854.54921,0,135.2549845,88.82007998,41.25024086
replyAnswers,1000,734.3219868,665.7852681,835.4952384,964.9534849,1156.421144,193.6434276,8133.023961,0,191.9976908,61.3922415,28.77588561
replyReplies,1000,453.3812039,411.8817802,603.8166147,756.3269968,904.6874365,436.7814344,8134.92453,0,163.3248073,69.93931787,19.208543
findReply,1000,773.3274282,728.301086,897.1498694,1070.501287,1241.601388,235.2626383,11077.60585,0,222.3442286,88.27833922,26.47003335
findByUid,1000,496.9597268,449.630229,643.2509018,766.9529983,897.1091172,159.1992198,10136.04222,0,214.5022566,100.4925093,29.49856593
findByAid,1000,628.6200351,573.7138288,755.24047,955.8162031,1023.048292,181.5266412,9224.242654,0,211.1330618,91.23801132,21.76490867
findAllQuesByUid,1000,600.2011985,549.4323001,769.4308597,940.9169164,1011.993374,171.4860567,9581.783418,0,213.7103094,89.60512263,19.65747965
existsByUidAndQid,1000,798.6387401,753.3494063,984.214547,1160.953411,1331.064567,206.5635469,13114.02368,0,241.272129,112.0385194,30.29240311
addStuidentToClass,1000,909.8481244,857.5580023,1094.606556,1304.929047,1521.061552,225.4285264,16816.50326,0,321.3427503,124.8314104,34.19039469
checklevel,1000,288.8979408,258.4323398,435.9732561,469.590471,1158.743377,102.9527207,1193.41113,0,534.0813251,137.1712779,122.0459278
login,1000,427.5868509,411.1832633,700.9799781,1223.707637,1249.953378,95.14080827,1661.136641,0,103.2347167,27.42172162,32.86573989
